,experiment,date,hour,device_make,platform_os,browser,yes,no
4038,control,2020-07-03,15,Samsung SM-A600FN,6,Chrome Mobile WebView,0,0
3345,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3348,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0,0
3354,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3356,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,0,0
3362,control,2020-07-03,15,Samsung SM-A202F,6,Samsung Internet,0,0
3363,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3368,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3382,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3384,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3343,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3389,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3392,exposed,2020-07-03,10,Samsung SM-J600FN,6,Chrome Mobile WebView,0,0
7703,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3394,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3398,control,2020-07-03,15,Samsung SM-J510FN,6,Samsung Internet,0,0
3400,control,2020-07-03,15,F5321,6,Facebook,0,0
3403,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3405,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
3406,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3407,exposed,2020-07-03,6,iPhone,6,Mobile Safari UI/WKWebView,0,0
3390,control,2020-07-03,15,MAR-LX1A,6,Facebook,0,1
3342,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,0,0
3340,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3338,control,2020-07-03,15,Samsung SM-G965F,6,Facebook,0,0
3285,control,2020-07-03,15,Samsung SM-N950F,6,Samsung Internet,0,0
3286,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0,1
3289,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
3290,control,2020-07-03,15,MRD-LX1,6,Facebook,1,0
3292,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7715,control,2020-07-03,15,Samsung SM-G965F,6,Facebook,0,0
3296,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3297,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3300,exposed,2020-07-03,12,Samsung SM-N950F,6,Chrome Mobile WebView,0,0
3305,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
7711,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3312,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3314,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,0,1
3322,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3324,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3328,control,2020-07-03,15,Samsung SM-G980F,6,Samsung Internet,0,0
3329,exposed,2020-07-03,13,Generic Smartphone,6,Chrome Mobile,0,0
3331,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3334,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3335,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3336,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3409,control,2020-07-03,15,Samsung SM-J600FN,6,Samsung Internet,0,0
3280,exposed,2020-07-03,10,Generic Smartphone,6,Chrome Mobile,0,1
3413,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,0,1
3422,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile WebView,0,0
7689,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,0,1
3511,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3518,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3521,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3522,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3526,exposed,2020-07-03,14,Generic Smartphone,6,Chrome Mobile,0,0
3535,exposed,2020-07-03,3,Samsung SM-G920F,6,Facebook,0,0
3537,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
3539,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3506,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7683,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3547,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3550,control,2020-07-03,15,Samsung SM-G935F,6,Chrome Mobile,0,0
7681,control,2020-07-03,15,Samsung SM-G930F,6,Samsung Internet,1,0
3553,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3557,control,2020-07-03,15,Samsung SM-J415FN,6,Samsung Internet,0,0
7678,control,2020-07-03,15,Samsung SM-G960F,6,Samsung Internet,0,0
3567,control,2020-07-03,15,CLT-L09,6,Facebook,0,0
3572,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3577,control,2020-07-03,15,Samsung SM-G930F,6,Samsung Internet,1,0
3544,exposed,2020-07-03,4,MAR-LX1A,6,Chrome Mobile WebView,0,0
3505,control,2020-07-03,15,Samsung SM-G935F,6,Samsung Internet,0,0
7690,control,2020-07-03,15,Samsung SM-G920F,6,Samsung Internet,0,0
3497,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
3430,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7695,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile,0,0
3433,control,2020-07-03,15,Samsung SM-A310F,6,Samsung Internet,1,0
3438,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3444,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,1,0
3445,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3446,control,2020-07-03,15,Samsung SM-G950F,6,Samsung Internet,0,0
